;;;STATUS OF FIXED PRICE PROJECTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Month report :;;;;;februar 2016;;Drilling : 2 533 NOK/hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PM;;ADD new projects at end of list !;;;;;Maritime : 3 119 NOK/hour;;;;;;;;;;;;;;;;2016 INVOICING PLAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016 HOURS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New 2013;2013;Open;Sacha;SPT;MODU;Fernvale: Urca/Frade…;220132103; 9009 SPT Urca ;;FCST/Prognose ;1.347;1,230 ;750 ;(684);(200);(884);346 ;28.1 %;;;;10-10-10-20-10-20-20;FCST Invoices;0 ;615 ;;;;;123 ;;;246 ;;246 ;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;750 ;625 ;125 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;750 ;625 ;;;;;7 ;14 ;77 ;20 ;8 ;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;SPT;MODU;;;;;ACTUAL;1.369;1,084 ;625 ;(571);(208);(779);305 ;28.1 %;88.1 %;615 ;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;SPT;MODU;;;;;Rest;;146 ;125 ;(113);8;(105);41 ;;;615 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Sacha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;Travel;MODU;;;;;BUDGET/Planlegging;1.015;640 ;260 ;(218);(342);(560);80 ;12.4 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;Travel;MODU;Fernvale: Urca/Frade…;220132104; 5105 Travel Urca ;;FCST/Prognose ;1.015;640 ;260 ;(236);(342);(578);62 ;9.6 %;;;;10-10-10-20-10-20-20;FCST Invoices;0 ;320 ;;;;;64 ;;;128 ;;128 ;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;260 ;105 ;155 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;260 ;105 ;;;;;;;;105 ;50 ;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;Travel;MODU;;;;;ACTUAL;0.976;221 ;105 ;(92);(108);(200);21 ;9.6 %;34.5 %;320 ;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;Travel;MODU;;;;;Rest;;419 ;155 ;(144);(234);(379);40 ;;;320 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Sacha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;DP;MODU;;;;;BUDGET/Planlegging;4.240;1,060 ;250 ;(210);0;(210);850 ;80.2 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
